dsCode,factorTable,factorValueColumn
BOE_IUDAJLT,pData.rateValues,value
BOE_IUDAMIJ,pData.rateValues,value
BOE_IUDBEDR,pData.rateValues,value
BOE_IUDED3A,pData.rateValues,value
BOE_IUDED3O,pData.rateValues,value
BOE_IUDERB3,pData.rateValues,value
BOE_IUDGR1M,pData.rateValues,value
BOE_IUDGR1W,pData.rateValues,value
BOE_IUDGR2W,pData.rateValues,value
BOE_IUDGR3M,pData.rateValues,value
BOE_IUDGRON,pData.rateValues,value
BOE_IUDLER3,pData.rateValues,value
BOE_IUDLIIF,pData.rateValues,value
BOE_IUDLIZC,pData.rateValues,value
BOE_IUDLNIF,pData.rateValues,value
BOE_IUDLNPY,pData.rateValues,value
BOE_IUDLNZC,pData.rateValues,value
BOE_IUDLRIF,pData.rateValues,value
BOE_IUDLRZC,pData.rateValues,value
BOE_IUDMIIF,pData.rateValues,value
BOE_IUDMIZC,pData.rateValues,value
BOE_IUDMNIF,pData.rateValues,value
BOE_IUDMNPY,pData.rateValues,value
BOE_IUDMNZC,pData.rateValues,value
BOE_IUDMRIF,pData.rateValues,value
BOE_IUDMRZC,pData.rateValues,value
BOE_IUDSIIF,pData.rateValues,value
BOE_IUDSIZC,pData.rateValues,value
BOE_IUDSNIF,pData.rateValues,value
BOE_IUDSNPY,pData.rateValues,value
BOE_IUDSNZC,pData.rateValues,value
BOE_IUDSOIA,pData.rateValues,value
BOE_IUDSRIF,pData.rateValues,value
BOE_IUDSRZC,pData.rateValues,value
BOE_IUDVCDA,pData.rateValues,value
BOE_IUDVNEA,pData.rateValues,value
BOE_IUDVSMA,pData.rateValues,value
BOE_IUDVWKA,pData.rateValues,value
BOE_IUDVWLA,pData.rateValues,value
BOE_IUDVYRA,pData.rateValues,value
BOE_XUDLADD,pData.currencyValues,value
BOE_XUDLADS,pData.currencyValues,value
BOE_XUDLB8KL,pData.currencyValues,value
BOE_XUDLBK25,pData.currencyValues,value
BOE_XUDLBK26,pData.currencyValues,value
BOE_XUDLBK27,pData.currencyValues,value
BOE_XUDLBK33,pData.currencyValues,value
BOE_XUDLBK34,pData.currencyValues,value
BOE_XUDLBK35,pData.currencyValues,value
BOE_XUDLBK47,pData.currencyValues,value
BOE_XUDLBK48,pData.currencyValues,value
BOE_XUDLBK49,pData.currencyValues,value
BOE_XUDLBK63,pData.currencyValues,value
BOE_XUDLBK64,pData.currencyValues,value
BOE_XUDLBK65,pData.currencyValues,value
BOE_XUDLBK66,pData.currencyValues,value
BOE_XUDLBK68,pData.currencyValues,value
BOE_XUDLBK69,pData.currencyValues,value
BOE_XUDLBK72,pData.currencyValues,value
BOE_XUDLBK73,pData.currencyValues,value
BOE_XUDLBK74,pData.currencyValues,value
BOE_XUDLBK75,pData.currencyValues,value
BOE_XUDLBK76,pData.currencyValues,value
BOE_XUDLBK78,pData.currencyValues,value
BOE_XUDLBK83,pData.currencyValues,value
BOE_XUDLBK85,pData.currencyValues,value
BOE_XUDLBK87,pData.currencyValues,value
BOE_XUDLBK89,pData.currencyValues,value
BOE_XUDLBK93,pData.currencyValues,value
BOE_XUDLBK95,pData.currencyValues,value
BOE_XUDLBK97,pData.currencyValues,value
BOE_XUDLCDD,pData.currencyValues,value
BOE_XUDLCDS,pData.currencyValues,value
BOE_XUDLDKD,pData.currencyValues,value
BOE_XUDLDKS,pData.currencyValues,value
BOE_XUDLERD,pData.currencyValues,value
BOE_XUDLERS,pData.currencyValues,value
BOE_XUDLGBD,pData.currencyValues,value
BOE_XUDLHDD,pData.currencyValues,value
BOE_XUDLHDS,pData.currencyValues,value
BOE_XUDLJYD,pData.currencyValues,value
BOE_XUDLJYS,pData.currencyValues,value
BOE_XUDLNDD,pData.currencyValues,value
